StockCode,Description,transactions,total_quantity_sold,total_revenue,avg_unit_price,unique_customers,countries_sold
22111,SCOTTIE DOG HOT WATER BOTTLE,791,4666,24509.839999999997,5.794487989886239,426,11
22722,SET OF 6 SPICE TINS PANTRY DESIGN,858,5978,24483.660000000014,4.6672027972028065,394,20
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,746,8560,24438.619999999948,3.4597319034852574,282,23
48187,DOORMAT NEW ENGLAND,606,3830,24292.83999999999,8.46239273927394,315,10
22138,BAKING SET 9 PIECE RETROSPOT ,947,4948,24239.719999999998,5.349313621964115,582,25
21731,RED TOADSTOOL LED NIGHT LIGHT,862,14009,23932.980000000025,2.3844199535962836,267,19
48185,DOORMAT FAIRY CAKE,368,3617,23888.80999999999,10.109565217391317,144,13
23344,JUMBO BAG 50'S CHRISTMAS ,732,10306,23815.749999999956,2.4131284153005557,392,12
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,474,4805,23514.170000000002,5.860274261603385,276,20
22189,CREAM HEART CARD HOLDER,531,8291,23463.47,4.447984934086629,275,8
21733,RED HANGING HEART T-LIGHT HOLDER,760,7882,23228.739999999976,3.1590526315789487,386,16
21929,JUMBO BAG PINK VINTAGE PAISLEY,873,11007,23181.140000000032,2.6776632302405514,309,14
82482,WOODEN PICTURE FRAME WHITE FINISH,1111,9006,23113.260000000017,3.1016561656165575,411,9
20713,JUMBO BAG OWLS,667,11444,23030.960000000014,2.7718590704647696,208,16
21623,VINTAGE UNION JACK MEMOBOARD,224,3272,23010.089999999997,10.36870535714286,140,5
22139,RETROSPOT TEA SET CERAMIC 11 PC ,972,4527,22912.809999999976,5.724362139917711,489,22
22697,GREEN REGENCY TEACUP AND SAUCER,1043,7304,22826.29999999993,3.8118791946308783,388,21
22090,PAPER BUNTING RETROSPOT,805,7588,22790.960000000003,3.773043478260875,326,16
85066,CREAM SWEETHEART MINI CHEST,529,1793,22708.950000000004,14.293402646502841,290,11
20727,LUNCH BAG  BLACK SKULL.,1328,12240,22421.210000000014,2.09847891566264,459,13
15056N,EDWARDIAN PARASOL NATURAL,460,3954,22176.489999999998,6.9445217391304475,185,13
84029E,RED WOOLLY HOTTIE WHITE HEART.,443,4765,22144.979999999992,5.116546275395034,229,8
48194,DOORMAT HEARTS,597,3421,22138.57,9.226482412060315,287,11
20712,JUMBO BAG WOODLAND ANIMALS,869,9773,22092.420000000035,2.926616800920599,249,18
23202,JUMBO BAG VINTAGE LEAF,889,10962,21852.81000000001,2.2953543307086663,378,11
20724,RED RETROSPOT CHARLOTTE BAG,1052,17771,21776.79000000001,1.1399049429657795,336,15
20728,LUNCH BAG CARS BLUE,1174,11817,21750.630000000012,2.059352640545135,480,18
22630,DOLLY GIRL LUNCH BOX,871,11793,21635.139999999985,2.3258323765786404,288,20
21523,DOORMAT FANCY FONT HOME SWEET HOME,503,3246,21601.689999999995,9.511709741550705,204,9
21843,RED RETROSPOT CAKE STAND,542,2013,21365.249999999978,12.60450184501846,261,16
21212,PACK OF 72 RETROSPOT CAKE CASES,1370,36419,21259.099999999955,0.75843065693431,636,21
21166,COOK WITH WINE METAL SIGN ,734,10364,20957.640000000007,2.3860899182561286,288,10
23206,LUNCH BAG APPLE DESIGN,1071,12183,20911.98,2.0520821661998028,402,18
22659,LUNCH BOX I LOVE LONDON,732,11523,20818.699999999993,2.3104098360655683,214,13
22728,ALARM CLOCK BAKELIKE PINK,793,5364,20702.15,4.5777427490542255,292,16
21479,WHITE SKULL HOT WATER BOTTLE ,514,3919,20594.449999999993,4.971342412451361,253,9
82494L,WOODEN FRAME ANTIQUE WHITE ,921,6749,19640.789999999964,3.260846905537468,393,8
84946,ANTIQUE SILVER T-LIGHT GLASS,696,14688,19411.620000000006,1.501393678160919,349,5
22501,PICNIC BASKET WICKER LARGE,449,1607,19322.160000000033,14.317616926503321,188,8
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,595,6847,19130.369999999974,3.2704033613445342,228,16
22467,GUMBALL COAT RACK,698,7962,18890.470000000023,2.8751575931232125,263,17
22969,HOMEMADE JAM SCENTED CANDLES,647,12532,18788.54999999999,1.7919783616692389,430,19
22383,LUNCH BAG SUKI DESIGN ,1121,10333,18750.58000000001,2.109553969669928,400,12
15036,ASSORTED COLOURS SILK FAN,519,23826,18569.839999999993,1.067764932562621,195,10
20726,LUNCH BAG WOODLAND,1042,9934,18323.380000000012,2.174136276391546,373,18
22382,LUNCH BAG SPACEBOY DESIGN ,1179,10464,18092.36000000001,2.008473282442738,491,18
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,267,10253,18069.279999999995,2.3087640449438216,161,14
22835,HOT WATER BOTTLE I AM SO POORLY,673,3474,18055.11000000001,5.870624071322447,317,7
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,305,16244,17927.45,1.4859344262295082,168,11
22865,HAND WARMER OWL DESIGN,676,8498,17910.03,2.355177514792908,376,11
21485,RETROSPOT HEART HOT WATER BOTTLE,647,3533,17708.530000000006,5.62941267387946,372,15
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,902,6084,17655.799999999963,3.2856097560975672,357,13
22698,PINK REGENCY TEACUP AND SAUCER,794,5825,17551.759999999962,3.679685138539045,320,16
22384,LUNCH BAG PINK POLKADOT,1117,10515,17435.190000000006,2.026454789615031,445,16
23203,JUMBO BAG DOILEY PATTERNS,518,8895,17272.84999999998,2.240212355212364,300,11
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,667,8414,17245.930000000022,2.6805547226386817,233,10
22077,6 RIBBONS RUSTIC CHARM,980,9183,17205.370000000006,2.2061224489795883,414,16
22385,JUMBO BAG SPACEBOY DESIGN,698,8684,17081.860000000022,2.644126074498565,248,14
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,267,5737,17073.65000000001,3.9320973782771516,146,4
22197,SMALL POPCORN HOLDER,597,20160,17055.150000000005,1.0736515912897826,229,11
21754,HOME BUILDING BLOCK WORD,796,2780,17049.920000000006,6.617638190954794,361,12
82583,HOT BATHS METAL SIGN,633,7306,17047.06,2.9396050552922626,207,6
22492,MINI PAINT SET VINTAGE ,380,26633,16937.82000000001,0.7850263157894737,214,21
20719,WOODLAND CHARLOTTE BAG,850,13310,16759.750000000007,1.204611764705881,239,17
22624,IVORY KITCHEN SCALES,731,1928,16528.31000000001,9.376894664842686,377,16
22993,SET OF 4 PANTRY JELLY MOULDS,1102,12672,16507.230000000007,1.495090744101633,432,19
84978,HANGING HEART JAR T-LIGHT HOLDER,737,12512,16477.530000000002,1.4823609226594299,305,8
84078A,SET/4 WHITE RETRO STORAGE CUBES ,155,415,16363.299999999997,45.23225806451614,80,7
23301,GARDENERS KNEELING PAD KEEP CALM ,926,8825,16357.050000000012,1.9420626349891925,406,9
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,469,3323,16164.039999999995,5.196545842217483,212,7
85152,HAND OVER THE CHOCOLATE   SIGN ,683,8272,15983.329999999989,2.3569546120058606,271,7
23313,VINTAGE CHRISTMAS BUNTING,413,2997,15833.309999999992,5.541380145278466,255,9
15056BL,EDWARDIAN PARASOL BLACK,321,2844,15828.839999999997,6.430311526479746,143,13
22379,RECYCLING BAG RETROSPOT ,755,6910,15636.990000000022,3.1818278145695422,188,9
82483,WOOD 2 DRAWER CABINET WHITE FINISH,555,2403,15240.07000000001,6.950486486486502,242,5
22084,PAPER CHAIN KIT EMPIRE,446,5189,15122.970000000001,3.2706726457399156,278,4
84997D,CHILDRENS CUTLERY POLKADOT PINK,363,3668,14501.939999999999,4.501349862258947,209,21
22752,SET 7 BABUSHKA NESTING BOXES,384,1790,14453.470000000001,9.788281250000002,189,13
22866,HAND WARMER SCOTTY DOG DESIGN,580,6632,14410.620000000006,2.3291724137931094,330,9
22847,BREAD BIN DINER STYLE IVORY,375,901,14329.539999999992,17.415146666666693,215,17
48184,DOORMAT ENGLISH ROSE ,413,2047,14324.000000000004,8.553050847457637,228,12
23200,JUMBO BAG PEARS,602,7071,14197.280000000017,2.4279235880398664,263,13
22507,MEMO BOARD RETROSPOT  DESIGN,459,2960,14193.349999999999,6.295599128540312,231,11
22083,PAPER CHAIN KIT RETROSPOT,614,4658,14159.539999999992,3.7612377850162853,295,13
22625,RED KITCHEN SCALES,559,1645,14141.700000000006,9.672003577817538,293,18
21232,STRAWBERRY CERAMIC TRINKET BOX,715,10484,14130.080000000005,1.6526853146853142,297,17
22867,HAND WARMER BIRD DESIGN,568,6441,14078.689999999991,2.397623239436624,334,8
21930,JUMBO STORAGE BAG SKULLS,717,6450,14031.160000000014,2.784030683403066,221,8
23343,JUMBO BAG VINTAGE CHRISTMAS ,489,6081,13978.950000000004,2.4152965235173824,287,11
22622,BOX OF VINTAGE ALPHABET BLOCKS,267,1342,13931.310000000005,12.382434456928852,175,13
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,537,55047,13841.850000000024,0.32067039106145206,308,14
20971,PINK BLUE FELT CRAFT TRINKET BOX,533,11001,13838.100000000002,1.4184803001876174,278,13
22941,CHRISTMAS LIGHTS 10 REINDEER,313,1672,13812.920000000006,9.953546325878602,206,12
AMAZONFEE,AMAZON FEE,2,2,13761.09,6880.545,1,1
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,386,1811,13746.110000000006,10.002823834196898,173,8
23077,DOUGHNUT LIP GLOSS ,345,10415,13720.77,1.3451594202898551,218,15
22551,PLASTERS IN TIN SPACEBOY,689,8082,13615.310000000021,1.8615384615384607,340,22
21524,DOORMAT SPOTTY HOME SWEET HOME,486,1757,13612.410000000002,9.192880658436227,252,16
23356,LOVE HOT WATER BOTTLE,500,2386,13494.969999999987,6.1984600000000265,317,10
23207,LUNCH BAG ALPHABET DESIGN,767,7851,13360.199999999997,1.98607561929595,378,13
22558,CLOTHES PEGS RETROSPOT PACK 24 ,781,8689,13346.040000000005,1.8319590268886052,364,14
22554,PLASTERS IN TIN WOODLAND ANIMALS,724,7813,13344.77000000002,1.907734806629832,352,23
23108,SET OF 10 LED DOLLY LIGHTS,375,2221,13303.02,6.468746666666666,272,19
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,413,2845,13284.490000000007,4.835060532687654,196,9
22113,GREY HEART HOT WATER BOTTLE,591,3231,12805.330000000002,4.396125211505922,338,11
22499,WOODEN UNION JACK BUNTING,410,2091,12792.249999999998,6.789317073170747,218,6
22427,ENAMEL FLOWER JUG CREAM,515,2113,12671.059999999996,6.52516504854371,312,8
20750,RED RETROSPOT MINI CASES,387,1748,12642.930000000008,8.121395348837222,236,22
20749,ASSORTED COLOUR MINI CASES,388,1770,12614.17000000001,8.064407216494857,240,18
21755,LOVE BUILDING BLOCK WORD,654,2034,12572.709999999992,6.67241590214069,338,12
22607,WOODEN ROUNDERS GARDEN SET ,362,1331,12571.36999999999,10.73251381215471,225,6
20723,STRAWBERRY CHARLOTTE BAG,730,9798,12552.400000000007,1.2002876712328743,231,12
21790,VINTAGE SNAP CARDS,940,14528,12515.959999999992,1.0148936170212737,450,8
22188,BLACK HEART CARD HOLDER,190,4871,12487.170000000004,4.348157894736839,124,4
22568,FELTCRAFT CUSHION OWL,480,3380,12440.140000000003,4.156937499999999,245,10
22424,ENAMEL BREAD BIN CREAM,456,875,12383.830000000004,15.880548245614042,190,5
22149,FELTCRAFT 6 FLOWER FRIENDS,559,6078,12373.87999999999,2.451484794275497,338,12
23174,REGENCY SUGAR BOWL GREEN,325,3057,12350.730000000007,4.793138461538455,191,18
21977,PACK OF 60 PINK PAISLEY CAKE CASES,890,24854,12245.01999999999,0.7425056179775292,411,19
48188,DOORMAT WELCOME PUPPIES,288,2065,12114.969999999996,8.816250000000005,164,11
47590B,PINK HAPPY BIRTHDAY BUNTING,397,2327,12071.919999999995,5.819848866498744,239,19
22273,FELTCRAFT DOLL MOLLY,338,4514,12016.34,3.2620414201183388,212,15
22191,IVORY DINER WALL CLOCK,425,1452,11971.150000000003,8.847411764705882,240,12
22158,3 HEARTS HANGING DECORATION RUSTIC,315,3463,11944.879999999994,3.342730158730155,197,3
82486,WOOD S/3 CABINET ANT WHITE FINISH,408,1408,11937.680000000004,9.03514705882355,184,6
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,482,3040,11928.450000000008,4.9237551867219915,187,13
22087,PAPER BUNTING WHITE LACE,334,4089,11893.229999999987,3.3920359281437107,156,8
22193,RED DINER WALL CLOCK,463,1403,11882.570000000003,9.2366090712743,207,14
23300,GARDENERS KNEELING PAD CUP OF TEA ,773,6827,11815.690000000017,1.9064165588615722,352,6
22502,PICNIC BASKET WICKER SMALL,468,1908,11807.11999999999,7.520811965811968,176,7
21936,RED RETROSPOT PICNIC BAG,534,3987,11671.08999999999,3.707003745318356,224,16
23581,JUMBO BAG PAISLEY PARK,351,5035,11613.029999999944,2.253276353276361,231,8
22692,DOORMAT WELCOME TO OUR HOME,450,1529,11555.560000000005,9.485511111111121,232,15
21217,RED RETROSPOT ROUND CAKE TINS,345,1089,11532.389999999996,12.56808695652175,168,15
22730,ALARM CLOCK BAKELIKE IVORY,579,2892,11479.65,4.41,242,12
21481,FAWN BLUE HOT WATER BOTTLE,506,3314,11466.369999999999,4.09409090909091,254,15
22356,CHARLOTTE BAG PINK POLKADOT,760,9721,11420.29000000001,1.2472105263157869,221,14
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",439,2133,11407.559999999992,7.38111617312073,151,18
22041,"RECORD FRAME 7"" SINGLE SIZE ",365,4374,11354.560000000007,3.6764931506849323,74,5
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,294,978,11338.269999999999,13.377210884353746,180,11
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,1013,13212,11319.359999999995,1.0908094768015797,428,17
47566B,TEA TIME PARTY BUNTING,369,2382,11290.120000000003,5.559376693766945,193,11
22605,WOODEN CROQUET GARDEN SET,300,782,11276.209999999997,16.224900000000012,182,12
22570,FELTCRAFT CUSHION RABBIT,395,3092,11227.470000000003,4.2893670886075945,203,10
23170,REGENCY TEA PLATE ROSES ,446,6869,11117.050000000012,2.0747533632286985,225,15
22413,METAL SIGN TAKE IT OR LEAVE IT ,419,3777,11104.79,3.3455847255369884,229,13
22662,LUNCH BAG DOLLY GIRL DESIGN,698,6724,11090.580000000009,1.9310028653295093,311,16
20711,JUMBO BAG TOYS ,525,5008,11014.620000000014,3.1207619047619026,153,9
85014B,RED RETROSPOT UMBRELLA,353,1915,10981.949999999997,6.821473087818701,211,13
22988,SOLDIERS EGG CUP ,430,9137,10938.310000000001,1.4932093023255815,198,4
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,263,1359,10910.610000000008,9.306958174904954,171,6
23209,LUNCH BAG VINTAGE DOILY ,617,6562,10820.100000000006,1.894991896272275,320,13
22617,BAKING SET SPACEBOY DESIGN,468,2210,10745.049999999988,5.45707264957265,297,20
22846,BREAD BIN DINER STYLE RED ,278,665,10676.619999999997,17.699460431654693,159,18
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,436,3265,10621.600000000006,3.504931192660541,279,12
21791,VINTAGE HEADS AND TAILS CARD GAME ,614,7890,10535.650000000005,1.5025081433224756,343,18
21891,TRADITIONAL WOODEN SKIPPING ROPE,445,8146,10526.000000000011,1.5842022471910102,265,13
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,628,16449,10518.250000000007,0.7267993630573267,319,9
23209,LUNCH BAG DOILEY PATTERN ,501,6556,10510.439999999999,1.7319161676646617,291,12
47590A,BLUE HAPPY BIRTHDAY BUNTING,391,1992,10502.649999999994,5.8636572890025604,229,17
23208,LUNCH BAG VINTAGE LEAF DESIGN,688,6342,10498.01000000001,1.9316279069767366,306,13
22992,REVOLVER WOODEN RULER ,359,5236,10379.840000000004,2.268718662952643,218,13
22169,FAMILY ALBUM WHITE PICTURE FRAME,373,1198,10354.260000000006,10.148418230563001,166,10
21914,BLUE HARMONICA IN BOX ,613,7879,10343.560000000001,1.4306525285481237,307,13
84997B,CHILDRENS CUTLERY RETROSPOT RED ,265,2634,10316.859999999999,4.493169811320753,158,15
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,361,8706,10297.270000000002,1.4660110803324098,178,3
23582,VINTAGE DOILY JUMBO BAG RED ,266,4815,10233.45,2.212744360902255,187,10
22970,LONDON BUS COFFEE MUG,325,4367,10224.750000000004,2.7268923076923106,181,7
82600,NO SINGING METAL SIGN,501,4789,10195.859999999997,2.53654690618763,208,10
84997C,CHILDRENS CUTLERY POLKADOT BLUE,234,2583,10154.909999999996,4.405726495726494,151,18
22569,FELTCRAFT CUSHION BUTTERFLY,355,2765,10133.33,4.2707042253521115,193,9
21218,RED SPOTTY BISCUIT TIN,398,2433,10116.489999999996,5.909648241206029,131,15
22556,PLASTERS IN TIN CIRCUS PARADE ,581,6118,10070.110000000002,1.7852667814113616,306,21
22633,HAND WARMER UNION JACK,508,4867,10057.319999999992,2.194527559055122,301,4
22621,TRADITIONAL KNITTING NANCY,621,6150,10056.950000000008,1.8810466988727845,367,14
23171,REGENCY TEA PLATE GREEN ,383,6247,10051.990000000005,2.1284334203655355,196,14
48173C,DOORMAT BLACK FLOCK ,191,1802,10025.11,8.199633507853402,106,5
20679,EDWARDIAN PARASOL RED,327,1710,10021.419999999998,7.003669724770641,142,13
23076,ICE CREAM SUNDAE LIP GLOSS,278,8100,9965.760000000002,1.3499280575539567,203,16
22791,T-LIGHT GLASS FLUTED ANTIQUE,351,8027,9963.880000000003,1.5092592592592593,185,8
22690,DOORMAT HOME SWEET HOME BLUE ,289,1623,9959.599999999997,8.31173010380623,199,15
22619,SET OF 6 SOLDIER SKITTLES,454,2570,9921.290000000005,4.614977973568282,251,18
22654,DELUXE SEWING KIT ,331,1412,9898.95,7.7467069486404885,158,10
22555,PLASTERS IN TIN STRONGMAN,530,6023,9863.28,1.8486603773584933,295,20
22766,PHOTO FRAME CORNICE,517,3297,9843.589999999993,3.209284332688583,279,8
21314,SMALL GLASS HEART TRINKET POT,545,4252,9811.580000000009,2.837449541284405,216,8
22838,3 TIER CAKE TIN RED AND CREAM,168,689,9765.11,17.272142857142864,116,13
23240,SET OF 4 KNICK KNACK TINS DOILY ,363,2360,9759.679999999997,4.538154269972438,231,18
22561,WOODEN SCHOOL COLOURING SET,446,5888,9749.820000000007,1.7765919282511242,289,13
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,588,3940,9748.130000000008,3.1148639455782328,234,16
22776,SWEETHEART CAKESTAND 3 TIER,378,959,9697.249999999993,11.180978835978859,253,12
22844,VINTAGE CREAM DOG FOOD CONTAINER,421,1006,9686.820000000009,10.812494061757725,177,13
22144,CHRISTMAS CRAFT LITTLE FRIENDS,560,4082,9681.180000000004,2.574267857142863,320,13
22560,TRADITIONAL MODELLING CLAY,390,8168,9602.320000000003,1.4219487179487178,230,7
23175,REGENCY MILK JUG PINK ,332,3164,9600.150000000001,3.8768975903614447,207,15
22978,PANTRY ROLLING PIN,239,2465,9568.730000000001,4.341757322175732,154,10
22456,NATURAL SLATE CHALKBOARD LARGE ,479,1731,9554.470000000001,6.666889352818381,221,4
35970,ZINC FOLKART SLEIGH BELLS,470,5070,9546.530000000017,2.408702127659575,271,11
22952,60 CAKE CASES VINTAGE CHRISTMAS,648,16055,9511.51999999999,0.7597067901234588,343,14
21174,POTTERING IN THE SHED METAL SIGN,547,4179,9413.82000000001,2.6916453382084073,226,3
84375,SET OF 20 KIDS COOKIE CUTTERS,531,4322,9404.150000000001,2.506723163841808,291,16
85150,LADIES & GENTLEMEN METAL SIGN,481,4039,9388.530000000002,3.072370062370064,197,10
21155,RED RETROSPOT PEG BAG,493,3157,9301.400000000005,3.1293306288032485,206,9
23319,BOX OF 6 MINI 50'S CRACKERS,419,3739,9266.83999999999,2.6480906921241107,301,15
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,469,2375,9264.91,4.107846481876332,276,14
22966,GINGERBREAD MAN COOKIE CUTTER,689,7448,9212.150000000005,1.4500725689404936,389,15
84991,60 TEATIME FAIRY CAKE CASES,863,18214,9183.719999999998,0.6865121668597919,415,17
23318,BOX OF 6 MINI VINTAGE CRACKERS,384,3811,9167.39,2.740338541666672,271,12
20972,PINK CREAM FELT CRAFT TRINKET BOX ,631,7362,9159.310000000003,1.4220760697305868,313,12
23080,RED METAL BOX TOP SECRET,264,1079,9158.870000000003,9.32689393939394,149,13
48116,DOORMAT MULTICOLOUR STRIPE,202,1492,9088.630000000005,9.659653465346537,89,6
22729,ALARM CLOCK BAKELIKE ORANGE,455,2326,9080.2,4.509406593406593,180,10
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,454,6635,9050.440000000002,1.5626651982378856,169,10
22759,SET OF 3 NOTEBOOKS IN PARCEL,439,5445,9043.939999999997,2.042505694760822,254,18
22989,SET 2 PANTRY DESIGN TEA TOWELS,379,2815,9012.270000000002,3.6851187335092344,242,18
23439,HAND WARMER RED LOVE HEART,425,4027,8941.609999999997,2.2227529411764775,269,8
23322,LARGE WHITE HEART OF WICKER,583,3085,8925.409999999993,3.131646655231567,351,6
82582,AREA PATROLLED METAL SIGN,441,4367,8862.990000000002,2.394603174603172,177,7
21889,WOODEN BOX OF DOMINOES,605,6403,8862.290000000005,1.5736528925619835,337,12
22632,HAND WARMER RED RETROSPOT,387,4354,8770.429999999995,2.226744186046513,259,8
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,353,10557,8754.630000000005,0.9517280453257781,209,7
22947,WOODEN ADVENT CALENDAR RED,137,746,8714.239999999998,13.112481751824824,82,10
22147,FELTCRAFT BUTTERFLY HEARTS,498,6230,8626.940000000002,1.6373092369477869,288,10
22652,TRAVEL SEWING KIT,473,5097,8620.320000000002,1.9653488372093015,264,20
22795,SWEETHEART RECIPE BOOK STAND,372,1212,8577.999999999998,8.107473118279568,171,9
23082,SET 6 PAPER TABLE LANTERN HEARTS ,307,2333,8577.510000000002,4.089087947882736,206,9
71459,HANGING JAM JAR T-LIGHT HOLDER,349,10792,8560.839999999986,0.9102578796561583,194,7
23078,ICE CREAM PEN LIP GLOSS ,257,6831,8553.34,1.4267315175097275,160,12
21035,SET/2 RED RETROSPOT TEA TOWELS ,401,2603,8549.850000000002,4.537581047381546,152,13
84378,SET OF 3 HEART COOKIE CUTTERS,696,6350,8540.900000000003,1.627011494252873,377,15
21484,CHICK GREY HOT WATER BOTTLE,420,1882,8535.52,5.149619047619047,206,8
23256,CHILDRENS CUTLERY SPACEBOY ,366,2079,8525.969999999996,4.468196721311467,226,19
23493,VINTAGE DOILY TRAVEL SEWING KIT,430,3970,8509.679999999991,2.153441860465117,283,14
